epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,314.287,0.73194,0.74491,0.00274,0.83381,0.89123,0.93006,0.82105,0.60225,0.51225,0.00338,0.000456863,0.000456863,0.000456863
43,321.065,0.73715,0.71498,0.00269,0.84601,0.87928,0.92586,0.82608,0.5676,0.50552,0.00311,0.00044925,0.00044925,0.00044925
44,327.819,0.73819,0.72862,0.00272,0.87605,0.86883,0.93389,0.84705,0.51961,0.48338,0.00293,0.000441637,0.000441637,0.000441637
45,334.622,0.71719,0.71218,0.0027,0.86918,0.86416,0.93427,0.851,0.51014,0.47553,0.00286,0.000434024,0.000434024,0.000434024
46,341.473,0.69124,0.67601,0.00246,0.87299,0.85935,0.92756,0.84482,0.50269,0.49171,0.00282,0.000426411,0.000426411,0.000426411
47,348.214,0.6991,0.66075,0.00254,0.89347,0.82856,0.92975,0.8549,0.47688,0.48049,0.00259,0.000418797,0.000418797,0.000418797
48,355.047,0.69365,0.67383,0.00248,0.85992,0.88428,0.93183,0.82567,0.57714,0.47251,0.00326,0.000411184,0.000411184,0.000411184
49,361.802,0.68636,0.64487,0.00249,0.84968,0.89368,0.93402,0.83734,0.54458,0.46995,0.00297,0.000403571,0.000403571,0.000403571
50,368.608,0.70418,0.65582,0.00258,0.90608,0.85061,0.93923,0.85398,0.50618,0.4658,0.00275,0.000395958,0.000395958,0.000395958
51,375.374,0.68282,0.64262,0.0025,0.92582,0.83084,0.94066,0.86039,0.49338,0.44587,0.00282,0.000388345,0.000388345,0.000388345
52,382.208,0.6803,0.62817,0.00253,0.89827,0.85949,0.94117,0.85822,0.51088,0.44482,0.00289,0.000380732,0.000380732,0.000380732
53,389.079,0.67106,0.62574,0.00247,0.88646,0.88056,0.94194,0.86623,0.47811,0.44079,0.00273,0.000373119,0.000373119,0.000373119
54,395.903,0.64376,0.59496,0.00225,0.85101,0.8908,0.93858,0.86008,0.47642,0.45121,0.00265,0.000365506,0.000365506,0.000365506
55,402.656,0.64431,0.61474,0.00246,0.88246,0.8876,0.94096,0.85141,0.52388,0.44998,0.00277,0.000357893,0.000357893,0.000357893
56,409.444,0.64449,0.61553,0.00238,0.90668,0.86063,0.94019,0.85974,0.48978,0.44917,0.00282,0.00035028,0.00035028,0.00035028
57,416.214,0.66466,0.62109,0.00252,0.90669,0.85769,0.94219,0.8642,0.47404,0.43786,0.00263,0.000342666,0.000342666,0.000342666
58,422.979,0.66208,0.60794,0.00255,0.88429,0.87376,0.94179,0.83941,0.57607,0.46233,0.00316,0.000335053,0.000335053,0.000335053
59,429.721,0.65584,0.60103,0.00238,0.90608,0.88269,0.9461,0.8553,0.5248,0.42997,0.00295,0.00032744,0.00032744,0.00032744
60,436.51,0.66633,0.59238,0.00245,0.89493,0.88786,0.94555,0.85765,0.5278,0.4283,0.0029,0.000319827,0.000319827,0.000319827
61,443.251,0.65944,0.60039,0.00249,0.91654,0.86914,0.94689,0.87996,0.44266,0.41269,0.00247,0.000312214,0.000312214,0.000312214
